"Enabled","Modul-Aktivierung",
"New order status","Bestellstatus",
"Novalnet Merchant ID","Novalnet-Händler-ID",
"Title","Titel",
"Novalnet Auth Code","Novalnet-Authorisierungsschlüssel",
"Novalnet Product ID","Novalnet-Produkt-ID",
"Novalnet Tariff Id","Novalnet-Tarif-ID",
"Payment from applicable countries","Zahlungsmöglichkeit für",
"Payment from Specific countries","Länderauswahl für Zahlungsmöglichkeit",
"DE","Deutschland",
"AT","Österreich",
"Direct Debit","Lastschrift",
"Credit Card","Kreditkarte",
"Country","Buchungsland",
"Name on the Card","Kreditkarteninhaber",
"Name on Card","Kreditkarteninhaber",
"Credit Card Type","Kreditkarten Typ",
"Credit Card Number","Kartennummer",
"Expiration Date","Gültigkeit (Monat/Jahr)",
"Card Verification Number","CVC (Pruefziffer)",
"What is this?","Wo finde ich die CVC-Nummer?",
"Account Holder","Kontoinhaber",
"Account Number","Kontonummer",
"Bank Sorting Code","Bankleitzahl",
"Country: ","Buchungsland: ",
"Account Holder: %s","Kontoinhaber: %s",
"Account Number: %s","Kontonummer: %s",
"Bank Sorting Code: %s","Bankleitzahl: %s",
"TID: %s","TID: %s",
"Name on the Card: %s","Kreditkarteninhaber: %s",
"Credit Card Number: %s","Kartennummer: %s",
"Credit Card Number: xxxx-%s","Kartennummer: xxxx-%s",
"Credit Card Type: %s","Kreditkartentyp: %s",
"Expiration Date: %s/%s","Gültigkeit (Monat/Jahr): %s/%s",
"Credit Card Types","Mögliche Kreditkarten",
"The amount will be booked immediately from your credit card.","Der Betrag wird von Ihrer Kreditkarte mit dem Verwendungszweck sofort abgebucht.",
"This is not a valid account number.","Bitte geben Sie die gültige Kontonummer",
"This is not a valid bank sorting code.","Bitte geben Sie die gültige Bankleitzahl",
"Direct Debit","Lastschrift",
"Credit Card","Kreditkarte",
"Creditcard","Kreditkarte",
"Credit Card 3D-Secure","Kreditkarte 3D Secure",
"You will be redirected to Novalnet AG 3D-Secure in a few seconds.","Sie werden in ein paar Sekunden an das 3D-Secure Gateway der Firma Novalnet weitergeleitet Customer was redirected to Novalnet.","Der Kunde wurde zum Novalnet Gateway weitergeleitet"
"Customer successfully returned from Novalnet","Der Kunde kehrte erfolgreich vom Novalnet Gateway zurück",
"Customer was rejected by Novalnet","Der Kunde wurde vom Novalnet Gateway zurückgewiesen",
"Prepayment","Vorkasse",
"Note: after submitting your order an email with bank transfer data of the Novalnet AG will be sent to you.","Bemerkung: Nach dem Absenden Ihrer Bestellung wird Ihnen eine Email mit den Bankdaten der Novalnet AG  an Sie versendet.",
"Payment Duration","Zahlungsdauer",
"--Please Select--","--Bitte wählen--",
"Invoice","Rechnung",
"Please transfer the amount at the latest, untill","Bitte ueberweisen Sie den Betrag spaetestens bis zum to following account:","auf folgendes Konto:"
"I accept the ACDC check","Der acdc-Check wird akzeptiert",
"This is a required field","Das ist ein Pflichtfeld",
"CC","Kreditkarte",
"Cc","Kreditkarte",
"Method","Zahlart",
"Due at","Gültig bis",
"The Bank details will be emailed to you soon after the completion of checkout process","Die Bankverbindung wird Ihnen nach Abschluss Ihrer Bestellung per E-Mail zugeschickt.",
"Please transfer the amount to following account","Bitte ueberweisen sie den Betrag auf folgendes Konto",
"Account Holder2","Kontoinhaber",
"Bank","Bank",
"Amount","Betrag",
"Reference","Verwendungszweck",
"to following account","auf folgendes Konto",
